id,place_id,category_id
1,1,1
2,2,1
4465,2,2
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,10,1
11,11,1
12,12,1
13,13,1
14,14,1
15,15,1
16,16,1
17,17,1
18,18,1
19,19,1
20,20,1
21,21,1
22,22,1
23,23,1
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,41,1
4641,41,2
40,42,1
41,43,1
42,45,1
43,47,1
44,48,1
45,50,1
46,52,1
47,56,1
48,57,1
49,58,1
50,60,1
51,61,1
52,62,1
53,64,1
54,65,1
55,68,1
56,69,1
57,70,1
58,71,1
59,73,1
60,74,1
61,75,1
62,76,1
63,77,1
64,78,1
65,79,1
66,80,1
67,81,1
68,82,1
69,83,1
70,84,1
71,85,1
72,86,1
73,87,1
74,88,1
75,89,1
76,90,1
77,91,1
78,92,1
79,93,1
4815,93,2
80,94,1
4816,94,2
81,95,1
82,96,1
83,97,1
4817,97,2
84,98,1
4818,98,2
85,99,1
86,100,1
87,101,1
88,102,1
4819,102,2
89,103,1
90,104,1
91,105,1
92,106,1
93,107,1
4823,107,2
94,108,1
95,109,1
96,110,1
97,111,1
4826,111,2
98,112,1
99,113,1
100,114,1
101,115,1
102,116,1
103,117,1
104,118,1
105,119,1
106,120,1
107,121,1
108,122,1
109,123,1
110,124,1
111,125,1
112,126,1
113,127,1
114,128,1
115,129,1
116,130,1
13289,130,2
117,131,1
118,132,1
119,133,1
120,134,1
121,135,1
122,136,1
123,137,1
124,138,1
125,139,1
126,140,1
127,141,1
128,142,1
129,143,1
130,144,1
131,145,1
132,146,1
133,147,1
134,148,1
135,149,1
136,150,1
137,194,1
138,199,1
139,204,1
140,206,1
141,210,1
142,211,1
143,212,1
144,213,1
4972,213,2
145,214,1
146,215,1
147,216,1
4993,216,2
148,217,1
149,218,1
150,219,1
151,220,1
152,221,1
153,222,1
154,223,1
155,224,1
156,225,1
157,226,1
158,227,1
159,228,1
160,229,1
161,230,1
162,231,1
163,232,1
164,233,1
165,234,1
166,235,1
167,236,1
168,237,1
169,238,1
170,239,1
171,240,1
172,241,1
173,242,1
174,243,1
175,244,1
176,245,1
177,246,1
178,247,1
179,248,1
180,249,1
181,250,1
182,251,1
183,252,1
184,253,1
185,254,1
186,255,1
187,256,1
188,257,1
189,258,1
190,259,1
191,260,1
192,261,1
193,262,1
194,263,1
195,264,1
196,265,1
197,266,1
198,267,1
199,268,1
200,269,1
201,270,1
202,271,1
203,272,1
204,273,1
205,274,1
206,275,1
5206,275,2
207,276,1
208,277,1
209,278,1
210,279,1
211,280,1
212,281,1
213,282,1
214,283,1
215,284,1
216,285,1
217,286,1
218,287,1
219,288,1
220,289,1
221,290,1
222,291,1
223,292,1
224,293,1
225,294,1
226,295,1
227,296,1
228,297,1
229,298,1
230,299,1
231,300,1
232,301,1
233,302,1
234,303,1
235,304,1
236,305,1
237,306,1
238,307,1
239,308,1
240,309,1
241,310,1
242,311,1
243,312,1
244,313,1
245,314,1
246,315,1
247,316,1
248,317,1
249,318,1
250,319,1
251,320,1
252,321,1
253,322,1
254,323,1
255,324,1
256,325,1
257,326,1
258,327,1
259,328,1
260,329,1
261,330,1
262,331,1
263,332,1
264,333,1
265,334,1
266,335,1
5267,335,2
267,336,1
268,337,1
269,338,1
270,339,1
271,340,1
272,341,1
5310,341,2
273,342,1
274,343,1
275,344,1
276,345,1
277,346,1
278,347,1
279,348,1
280,349,1
281,350,1
282,351,1
283,352,1
284,353,1
285,354,1
286,355,1
287,356,1
288,357,1
289,358,1
290,359,1
291,360,1
292,361,1
293,362,1
294,363,1
295,364,1
296,365,1
297,366,1
298,367,1
299,368,1
300,369,1
301,370,1
302,371,1
303,372,1
304,373,1
305,374,1
306,375,1
307,376,1
308,377,1
309,378,1
310,379,1
311,380,1
312,381,1
313,382,1
314,383,1
315,384,1
316,385,1
317,386,1
318,387,1
319,388,1
320,389,1
321,390,1
322,391,1
323,392,1
324,393,1
325,394,1
326,395,1
327,396,1
328,397,1
329,399,1
330,400,1
331,402,1
332,403,1
333,404,1
334,405,1
335,406,1
336,407,1
337,408,1
338,409,1
339,410,1
340,411,1
341,412,1
342,413,1
343,414,1
344,415,1
345,416,1
346,417,1
347,418,1
348,419,1
349,420,1
350,421,1
5499,421,2
351,422,1
352,423,1
353,424,1
5500,424,2
354,425,1
355,426,1
5501,426,2
356,427,1
5502,427,2
357,428,1
358,429,1
359,430,1
360,431,1
361,432,1
362,433,1
363,434,1
364,435,1
365,436,1
366,437,1
367,438,1
368,439,1
369,440,1
370,441,1
371,442,1
372,443,1
373,444,1
374,445,1
375,446,1
376,447,1
377,448,1
378,449,1
379,450,1
380,451,1
381,452,1
